Year,Team,Game,CG,SHO,CG,Win,Loss,Save,Hold,IP,Run,ER,Hitter,Hit,B2,B3,HR,BB,IBB,HBP,K,BK,WP,ERA,FIP,WHIP,NAME
2002,SK,51,2,2,15,7,9,11,2,141,51,50,578,120,,,20,44,3,9,126,1,4,3.19,4.12,1.16,Byung-YongChei
2003,SK,34,0,0,16,9,5,4,2,114,66,61,509,113,,,9,59,1,6,84,0,2,4.82,4,1.51,Byung-YongChei
2005,SK,26,0,0,23,8,8,0,1,121,63,57,518,103,,,18,54,0,8,96,0,0,4.24,4.9,1.3,Byung-YongChei
2006,SK,27,0,0,25,7,8,0,0,152.2,60,52,640,136,,,10,55,2,9,97,1,2,3.07,3.5,1.25,Byung-YongChei
2007,SK,28,0,0,23,11,8,0,0,146,51,46,610,137,,,8,47,4,5,84,1,3,2.84,3.38,1.26,Byung-YongChei
2008,SK,27,0,0,23,10,2,0,1,136.2,43,41,569,126,,,10,43,1,6,81,0,2,2.7,3.97,1.24,Byung-YongChei
2009,SK,28,0,0,7,3,3,2,3,61.1,32,32,269,66,,,11,25,2,2,53,0,2,4.7,5.01,1.48,Byung-YongChei
2012,SK,14,0,0,10,3,3,0,0,62.2,22,22,271,67,,,3,22,4,1,42,0,1,3.16,3.3,1.42,Byung-YongChei
2013,SK,12,0,0,2,0,3,1,0,20.1,18,18,103,30,,,2,16,0,3,12,1,1,7.97,6.25,2.26,Byung-YongChei
2014,SK,27,1,0,24,8,12,0,0,130,94,92,585,151,32,2,27,49,0,8,87,0,2,6.37,6.53,1.54,Byung-YongChei
2015,SK,33,0,0,8,4,4,0,1,83,56,56,367,103,17,2,17,27,1,3,78,0,4,6.07,5.45,1.57,Byung-YongChei
2016,SK,68,0,0,0,6,3,2,9,83.2,43,40,345,77,14,1,9,29,1,3,67,0,2,4.3,4.7,1.27,Byung-YongChei
2017,SK,43,0,0,0,6,4,0,6,50,40,38,231,62,14,0,8,15,2,3,43,0,1,6.84,5.06,1.54,Byung-YongChei
2018,SK,29,0,0,0,2,1,1,3,30,16,16,128,33,5,0,8,8,0,1,15,0,0,4.8,7.2,1.37,Byung-YongChei
2019,SK,2,0,0,0,0,0,1,1,1.1,0,0,7,1,1,0,0,1,0,1,2,0,0,0,5.33,1.5,Byung-YongChei
